date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2020-03-01,22.574074074074073,13.75,14.066666666666666,19.844827586206897,10.4,9.454545454545455,9.0,12.75,2.0,14.311475409836065,19.70940170940171,2.6,22.652173913043477,26.6375,22.96385542168675,20.1,27.390243902439025,26.04,21.754716981132077,23.176470588235293,11.04,9.785714285714286,21.95774647887324,17.5,26.69090909090909,25.833333333333332,19.88235294117647,15.535714285714286,-1.1666666666666667,12.545454545454545,8.636363636363637,19.48148148148148,19.14516129032258,17.363636363636363,10.461538461538462,20.879518072289155,24.054545454545455,23.862068965517242,19.73015873015873,12.333333333333334,20.8,16.705882352941178,22.0126582278481,19.311764705882354,12.470588235294118,17.692307692307693,16.439252336448597,23.78787878787879,23.916666666666668,18.138461538461538,0.6
2020-03-02,10.035087719298245,8.25,6.6875,15.311475409836065,8.0,6.5813953488372094,6.0,9.75,0.0,9.265625,11.227642276422765,0.6,8.9,11.08641975308642,11.294117647058824,4.242857142857143,9.238095238095237,13.892857142857142,14.648148148148149,7.882352941176471,6.44,7.933333333333334,11.698630136986301,6.358208955223881,16.839285714285715,11.987804878048781,8.181818181818182,8.242424242424242,9.090909090909092,8.0,6.7727272727272725,13.074074074074074,10.03225806451613,14.26595744680851,7.928571428571429,9.511627906976743,14.275862068965518,11.206896551724139,9.6875,9.166666666666666,14.909090909090908,6.5,9.268292682926829,11.804347826086957,12.272727272727273,9.76923076923077,11.3125,7.588235294117647,14.710526315789474,5.582089552238806,5.157894736842105
2020-03-03,26.517857142857142,14.375,10.266666666666667,25.704918032786885,12.053571428571429,11.837209302325581,6.333333333333333,12.25,8.0,11.828125,14.951612903225806,1.6,10.451612903225806,14.46987951807229,18.16470588235294,7.205479452054795,18.59090909090909,25.523809523809526,19.036363636363635,20.294117647058822,10.6,11.666666666666666,12.786666666666667,10.6,26.410714285714285,19.46987951807229,11.565217391304348,9.9375,11.727272727272727,10.909090909090908,5.7272727272727275,18.74074074074074,10.758064516129032,19.610526315789475,9.625,15.275862068965518,23.344827586206897,14.344827586206897,11.609375,9.833333333333334,13.977272727272727,9.333333333333334,22.308641975308642,17.716666666666665,14.130434782608695,17.0,19.40909090909091,9.647058823529411,21.45945945945946,7.367647058823529,10.368421052631579
2020-03-04,7.421052631578948,8.875,11.625,15.491803278688524,7.267857142857143,8.883720930232558,6.888888888888889,11.25,14.0,8.921875,6.346774193548387,0.2,12.033333333333333,14.674698795180722,15.352941176470589,11.14864864864865,17.88888888888889,20.071428571428573,6.036363636363636,8.058823529411764,8.92,5.866666666666666,11.391891891891891,9.19718309859155,11.842105263157896,21.463414634146343,9.956521739130435,10.969696969696969,10.090909090909092,6.181818181818182,8.454545454545455,14.333333333333334,8.483870967741936,12.736842105263158,8.666666666666666,13.264367816091953,17.196428571428573,14.4,10.59375,9.0,8.795454545454545,8.222222222222221,15.865853658536585,7.9010989010989015,13.826086956521738,5.538461538461538,12.955752212389381,10.147058823529411,17.157894736842106,8.0,8.2
2020-03-05,10.105263157894736,9.25,10.533333333333333,18.65573770491803,7.928571428571429,10.355555555555556,7.555555555555555,10.25,8.0,8.21875,4.912698412698413,2.2,12.0,11.117647058823529,15.141176470588235,1.894736842105263,11.583333333333334,16.816091954022987,15.285714285714286,11.176470588235293,7.96,7.866666666666666,9.155844155844155,2.4444444444444446,17.87719298245614,15.289156626506024,13.695652173913043,5.6,11.545454545454545,8.636363636363637,8.227272727272727,13.703703703703704,11.387096774193548,8.6,10.866666666666667,13.574712643678161,17.322033898305083,11.8,12.015625,9.0,2.5681818181818183,7.666666666666667,14.547619047619047,14.956043956043956,17.0,10.0,11.224137931034482,7.205882352941177,14.794871794871796,2.442857142857143,11.052631578947368
2020-03-06,9.147540983606557,7.625,6.75,12.523809523809524,3.4464285714285716,7.1521739130434785,2.0,1.5,2.0,6.8307692307692305,10.24031007751938,1.0,5.9393939393939394,10.616279069767442,5.709302325581396,15.144736842105264,15.36,7.833333333333333,9.206896551724139,5.705882352941177,0.84,1.7333333333333334,0.5185185185185185,10.493150684931507,11.919354838709678,18.91764705882353,10.76,12.088235294117647,5.636363636363637,1.6363636363636365,-1.7272727272727273,8.392857142857142,1.8870967741935485,6.08421052631579,10.4375,3.8295454545454546,11.344262295081966,6.0,2.2153846153846155,3.8333333333333335,9.75,11.19047619047619,8.604651162790697,11.052910052910052,14.166666666666666,3.3076923076923075,4.404958677685951,5.176470588235294,2.1707317073170733,6.267605633802817,9.65
2020-03-07,14.431034482758621,16.25,7.466666666666667,13.950819672131148,2.4642857142857144,10.909090909090908,10.0,12.5,1.0,8.6875,13.233870967741936,0.8,7.612903225806452,22.08235294117647,24.188235294117646,16.093333333333334,14.434782608695652,20.94047619047619,13.89090909090909,9.0,8.08,4.733333333333333,18.666666666666668,12.591549295774648,15.551724137931034,18.13095238095238,15.208333333333334,11.705882352941176,4.416666666666667,9.181818181818182,11.363636363636363,11.62962962962963,15.241935483870968,11.819148936170214,13.933333333333334,16.302325581395348,13.694915254237289,5.96875,12.046153846153846,5.666666666666667,11.386363636363637,14.947368421052632,17.525,13.201086956521738,17.47826086956522,12.0,11.991525423728813,6.428571428571429,12.025641025641026,15.042857142857143,10.25
2020-03-08,14.944444444444445,8.5,13.133333333333333,18.844827586206897,5.357142857142857,11.790697674418604,9.444444444444445,10.75,11.0,10.516129032258064,14.222222222222221,1.0,17.476190476190474,23.575,22.17283950617284,19.050847457627118,19.829268292682926,20.5,18.90566037735849,22.294117647058822,11.2,9.5,22.281690140845072,18.540983606557376,18.509090909090908,24.384615384615383,12.555555555555555,14.5,7.7,11.363636363636363,9.727272727272727,11.666666666666666,19.241935483870968,14.136363636363637,8.0,21.265060240963855,12.0,15.655172413793103,20.26984126984127,11.333333333333334,14.904761904761905,13.0,19.11392405063291,15.31578947368421,18.444444444444443,16.076923076923077,14.398148148148149,16.03030303030303,20.47222222222222,19.16923076923077,9.666666666666666
2020-03-09,11.75438596491228,3.875,11.6,5.524590163934426,3.8392857142857144,9.883720930232558,9.444444444444445,10.25,6.0,7.78125,12.195121951219512,-1.2,7.566666666666666,3.493827160493827,10.31764705882353,-2.1527777777777777,3.5217391304347827,13.012048192771084,8.703703703703704,8.882352941176471,7.96,11.4,6.12,5.161764705882353,12.25,3.9146341463414633,5.863636363636363,2.8181818181818183,6.363636363636363,10.0,9.954545454545455,14.925925925925926,12.564516129032258,12.606382978723405,4.6,12.453488372093023,9.40677966101695,9.4,12.0625,14.166666666666666,11.204545454545455,4.833333333333333,10.548780487804878,11.03825136612022,12.909090909090908,10.153846153846153,10.752212389380531,6.5588235294117645,16.605263157894736,1.338235294117647,7.052631578947368
2020-03-10,10.491228070175438,11.25,7.466666666666667,14.508196721311476,3.0892857142857144,10.476190476190476,5.111111111111111,9.5,5.0,8.4375,10.137096774193548,-0.8,11.451612903225806,8.734939759036145,9.023529411764706,4.397260273972603,11.55813953488372,9.632183908045977,11.10909090909091,5.882352941176471,6.56,5.933333333333334,12.81081081081081,6.083333333333333,15.614035087719298,13.63855421686747,9.318181818181818,4.9375,7.090909090909091,7.363636363636363,6.409090909090909,15.481481481481481,4.193548387096774,10.263157894736842,6.5625,8.724137931034482,14.932203389830509,10.96551724137931,8.25,8.833333333333334,10.318181818181818,6.944444444444445,9.53012048192771,15.815642458100559,13.727272727272727,2.6153846153846154,10.666666666666666,5.676470588235294,10.894736842105264,6.75,8.75
